"","Alpha_2","Name","Station","ICAO","IATA","SYNOP","LAT","LONG","ELEV"
"123","MX","Mexico","   VERACRUZ         ","MMVR  ","VER   ","76692 "," 19 09N "," 096 11W ","  16  "
"124","MX","Mexico","   VILLAHERMOSA     ","MMVA  ","VSA   ","      "," 18 00N "," 092 49W ","  13  "
"125","MX","Mexico","   VILLAHERMOSA     ","      ","      ","76743 "," 17 59N "," 092 56W ","   6  "
"126","MX","Mexico","   ZACATECAS ARPT   ","MMZC  ","ZCL   ","      "," 22 54N "," 102 41W ","2177  "
"127","MX","Mexico","   ZACATECAS        ","      ","      ","76526 "," 22 45N "," 102 30W ","2265  "
"128","MX","Mexico","   GUADALUPE/ZACATE ","MMZA  ","      ","      "," 22 45N "," 102 30W ","2265  "
"129","MX","Mexico","   TAPACHULA        ","      ","      ","76904 "," 14 46N "," 092 22W ","  29  "
"130","NI","Nicaragua","   BLUEFIELDS       ","MNBL  ","      ","78745 "," 12 00N "," 083 46W ","   5  "
"131","NI","Nicaragua","   MANAGUA/AUGUSTO  ","MNMG  ","      ","78741 "," 12 09N "," 086 10W ","  59  "
"132","NI","Nicaragua","   PUERTO CABEZAS(  ","MNPC  ","      ","78730 "," 14 03N "," 083 23W ","  16  "
"133","NI","Nicaragua","   CHINANDEGA       ","MNCH  ","      ","78739 "," 12 37N "," 087 07W ","  53  "
"134","NI","Nicaragua","   JINOTEGA         ","MNJG  ","      ","78734 "," 13 05N "," 086 01W "," 985  "
"135","NI","Nicaragua","   JUIGALPA         ","MNJU  ","      ","78735 "," 12 05N "," 085 22W ","  90  "
"136","NI","Nicaragua","   LEON/FANOR URROZ ","MNLN  ","      ","      "," 12 25N "," 086 54W "," 100  "
"137","NI","Nicaragua","   RIVAS            ","MNRS  ","      ","78733 "," 11 25N "," 085 49W ","  53  "
"138","PA","Panama","   BOCAS DEL TORO   ","MPBO  ","      ","      "," 09 21N "," 082 15W ","   3  "
"139","PA","Panama","   DAVID/ENRIQUE M  ","MPDA  ","      ","78793 "," 08 24N "," 082 26W ","  27  "
"140","PA","Panama","   COLON            ","MPEJ  ","      ","78794 "," 09 21N "," 079 52W ","   8  "
"141","PA","Panama","   HOWARD AFB       ","MPHO  ","      ","78806 "," 08 55N "," 079 36W ","  13  "
"142","PA","Panama","   MARCOS GELABERT  ","MPMG  ","      ","      "," 08 59N "," 079 34W ","  13  "
"143","PA","Panama","   PANAMA PACIFICO  ","MPPA  ","      ","      "," 08 55N "," 079 36W ","  13  "
"144","PA","Panama","   SANTIAGO         ","MPSA  ","      ","78795 "," 08 04N "," 080 56W ","  83  "
"145","PA","Panama","   TOCUMEN          ","MPTO  ","      ","78792 "," 09 03N "," 079 22W ","  45  "
"146","PA","Panama","   ENRIQUE ADOLFO J ","MPCF  ","      ","      "," 09 20N "," 079 52W ","   8  "
"147","PA","Panama","   CAPTAIN MANUEL N ","MPCH  ","      ","      "," 09 27N "," 082 31W ","   6  "
"148","PA","Panama","   FT SHERMAN (ROCO ","MPFS  ","      ","78801 "," 09 19N "," 079 58W ","  52  "
"149","PA","Panama","   JAQUE            ","MPJE  ","      ","      "," 07 31N "," 078 09W ","   9  "
"150","PA","Panama","   ALBROOK AFS/BALB ","MPLB  ","      ","      "," 08 58N "," 079 32W ","   9  "
"151","PA","Panama","   LA PALMA         ","MPLP  ","      ","      "," 08 24N "," 078 07W ","  10  "
"152","PA","Panama","   AUGUSTO VERGARA  ","MPNU  ","      ","      "," 07 49N "," 080 16W ","  21  "
"153","PA","Panama","   PUERTO OBALDIA   ","MPOA  ","      ","      "," 08 40N "," 077 25W ","   1  "
"154","PA","Panama","   RIO HATO         ","MPRH  ","      ","      "," 08 22N "," 080 07W ","  31  "
"155","PA","Panama","   EL PORVENIR      ","MPVR  ","      ","78788 "," 09 34N "," 078 58W ","   2  "
"156",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"157",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"158",NA,"Bolivia","ALABAMA            1","6-DEC-","13",NA,NA,NA,NA
"159",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"160",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"161",NA,"Bolivia","ARKANSAS           3","0-APR-","13",NA,NA,NA,NA
"162",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"163",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"164",NA,"Bolivia","ARIZONA            3","0-APR-","13",NA,NA,NA,NA
"165",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"166",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"167",NA,"Bolivia","CALIFORNIA         0","3-DEC-","13",NA,NA,NA,NA
"168",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"169",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"170",NA,"Bolivia","COLORADO           0","3-DEC-","13",NA,NA,NA,NA
"171",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"172",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"173",NA,"Bolivia","CONNECTICUT        0","9-SEP-","08",NA,NA,NA,NA
"174",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"175",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"176",NA,"Bolivia","DELAWARE           1","6-DEC-","98",NA,NA,NA,NA
